,Index,label_longname,Type
104,40,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_1.2,radi
105,41,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_0.8,radi
106,42,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_1.2,radi
107,43,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_0.8,radi
108,44,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_1.2,radi
109,45,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_0.8,radi
110,46,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_1.2,radi
111,47,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_1.2_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_0.8,radi
112,48,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_1.2,radi
113,49,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_0.8,radi
